countrynewwb,codewb,year,pop_adult,regionwb24_hi,incomegroupwb24,account.t.d
Colombia,COL,2011,32481705.0,Latin America & Caribbean (excluding high income),Upper middle income,0.3
Comoros,COM,2011,382348.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.22
"Congo, Dem. Rep.",COD,2011,36981603.0,Sub-Saharan Africa (excluding high income),Low income,0.04
"Congo, Rep.",COG,2011,2658255.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.1
Costa Rica,CRI,2011,3423771.0,Latin America & Caribbean (excluding high income),Upper middle income,0.5
Croatia,HRV,2011,3638504.0,High income,High income,0.88
Cyprus,CYP,2011,936237.0,High income,High income,0.85
Czechia,CZE,2011,8965818.0,High income,High income,0.81
Denmark,DNK,2011,4549535.0,High income,High income,1.0
Djibouti,DJI,2011,591971.0,Middle East & North Africa (excluding high income),Lower middle income,0.12
Dominican Republic,DOM,2011,6788648.0,Latin America & Caribbean (excluding high income),Upper middle income,0.38
Ecuador,ECU,2011,10352753.0,Latin America & Caribbean (excluding high income),Upper middle income,0.37
"Egypt, Arab Rep.",EGY,2011,58969826.0,Middle East & North Africa (excluding high income),Lower middle income,0.1
El Salvador,SLV,2011,4126198.0,Latin America & Caribbean (excluding high income),Lower middle income,0.14
Estonia,EST,2011,1128611.0,High income,High income,0.97
Eswatini,SWZ,2011,680317.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.29
Finland,FIN,2011,4475337.0,High income,High income,1.0
France,FRA,2011,52976120.0,High income,High income,0.97
Gabon,GAB,2011,1077711.0,Sub-Saharan Africa (excluding high income),Upper middle income,0.19
Georgia,GEO,2011,3084171.0,Europe & Central Asia (excluding high income),Upper middle income,0.33
Germany,DEU,2011,70576834.0,High income,High income,0.98
Ghana,GHA,2011,15512209.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.29
Greece,GRC,2011,9493929.0,High income,High income,0.78
Guatemala,GTM,2011,8804525.0,Latin America & Caribbean (excluding high income),Upper middle income,0.22
Guinea,GIN,2011,5771983.0,Sub-Saharan Africa (excluding high income),Low income,0.04
Haiti,HTI,2011,6250015.0,Latin America & Caribbean (excluding high income),Lower middle income,0.22
Honduras,HND,2011,5181064.0,Latin America & Caribbean (excluding high income),Lower middle income,0.21
"Hong Kong SAR, China",HKG,2011,6165173.0,High income,High income,0.89
Hungary,HUN,2011,8529919.0,High income,High income,0.73
India,IND,2011,853745004.0,South Asia (excluding high income),Lower middle income,0.35
Indonesia,IDN,2011,177530453.0,East Asia & Pacific (excluding high income),Lower middle income,0.2
"Iran, Islamic Rep.",IRN,2011,59270231.0,Middle East & North Africa (excluding high income),Lower middle income,0.74
Iraq,IRQ,2011,18241367.0,Middle East & North Africa (excluding high income),Upper middle income,0.11
Ireland,IRL,2011,3598499.0,High income,High income,0.94
Israel,ISR,2011,5491153.0,High income,High income,0.9
Italy,ITA,2011,50957209.0,High income,High income,0.71
Jamaica,JAM,2011,2007871.0,Latin America & Caribbean (excluding high income),Upper middle income,0.71
Japan,JPN,2011,110945852.0,High income,High income,0.96
Jordan,JOR,2011,4670454.0,Middle East & North Africa (excluding high income),Upper middle income,0.25
Kazakhstan,KAZ,2011,12564991.0,Europe & Central Asia (excluding high income),Upper middle income,0.42
Kenya,KEN,2011,23450849.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.42
"Korea, Rep.",KOR,2011,41432826.0,High income,High income,0.93
Kosovo,XKX,2011,1287712.0,Europe & Central Asia (excluding high income),Upper middle income,0.44
Kuwait,KWT,2011,2266476.0,High income,High income,0.87
Kyrgyz Republic,KGZ,2011,3813117.0,Europe & Central Asia (excluding high income),Lower middle income,0.04
Lao PDR,LAO,2011,4035423.0,East Asia & Pacific (excluding high income),Lower middle income,0.27
Latvia,LVA,2011,1800178.0,High income,High income,0.9
Lebanon,LBN,2011,3709897.0,Middle East & North Africa (excluding high income),Lower middle income,0.37
Lesotho,LSO,2011,1266790.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.18
Liberia,LBR,2011,2309936.0,Sub-Saharan Africa (excluding high income),Low income,0.19
Lithuania,LTU,2011,2635099.0,High income,High income,0.74
Luxembourg,LUX,2011,417441.0,High income,High income,0.95
Madagascar,MDG,2011,12419251.0,Sub-Saharan Africa (excluding high income),Low income,0.06
Malawi,MWI,2011,7972899.0,Sub-Saharan Africa (excluding high income),Low income,0.17
Malaysia,MYS,2011,20649116.0,East Asia & Pacific (excluding high income),Upper middle income,0.66
Mali,MLI,2011,8429981.0,Sub-Saharan Africa (excluding high income),Low income,0.08
Malta,MLT,2011,351508.0,High income,High income,0.95
Mauritania,MRT,2011,1903527.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.17
Mauritius,MUS,2011,986634.0,Sub-Saharan Africa (excluding high income),Upper middle income,0.8
Mexico,MEX,2011,79795751.0,Latin America & Caribbean (excluding high income),Upper middle income,0.27
Moldova,MDA,2011,2361620.0,Europe & Central Asia (excluding high income),Upper middle income,0.18
Mongolia,MNG,2011,1973485.0,East Asia & Pacific (excluding high income),Lower middle income,0.78
Montenegro,MNE,2011,500343.0,Europe & Central Asia (excluding high income),Upper middle income,0.5
Nepal,NPL,2011,17498633.0,South Asia (excluding high income),Lower middle income,0.25
Netherlands,NLD,2011,13694510.0,High income,High income,0.99
New Zealand,NZL,2011,3443024.0,High income,High income,0.99
Nicaragua,NIC,2011,3774402.0,Latin America & Caribbean (excluding high income),Lower middle income,0.14
Niger,NER,2011,8376813.0,Sub-Saharan Africa (excluding high income),Low income,0.02
Nigeria,NGA,2011,92621676.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.3
North Macedonia,MKD,2011,1569860.0,Europe & Central Asia (excluding high income),Upper middle income,0.74
Oman,OMN,2011,1989124.0,High income,High income,0.74
Pakistan,PAK,2011,120857470.0,South Asia (excluding high income),Lower middle income,0.1
Panama,PAN,2011,2569368.0,High income,High income,0.25
Paraguay,PRY,2011,3870412.0,Latin America & Caribbean (excluding high income),Upper middle income,0.22
Peru,PER,2011,20570757.0,Latin America & Caribbean (excluding high income),Upper middle income,0.2
Philippines,PHL,2011,62034866.0,East Asia & Pacific (excluding high income),Lower middle income,0.27
Poland,POL,2011,32308457.0,High income,High income,0.7
Portugal,PRT,2011,8967347.0,High income,High income,0.81
Qatar,QAT,2011,1392286.0,High income,High income,0.66
Romania,ROU,2011,17058580.0,High income,High income,0.45
Russian Federation,RUS,2011,121177141.0,Europe & Central Asia (excluding high income),Upper middle income,0.48
Rwanda,RWA,2011,5941330.0,Sub-Saharan Africa (excluding high income),Low income,0.33
Saudi Arabia,SAU,2011,17354530.0,High income,High income,0.46
Senegal,SEN,2011,7243499.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.06
Serbia,SRB,2011,6237019.0,Europe & Central Asia (excluding high income),Upper middle income,0.62
Sierra Leone,SLE,2011,3534329.0,Sub-Saharan Africa (excluding high income),Low income,0.15
Singapore,SGP,2011,4359214.0,High income,High income,0.98
Slovak Republic,SVK,2011,4557830.0,High income,High income,0.8
Slovenia,SVN,2011,1758964.0,High income,High income,0.97
South Africa,ZAF,2011,36953226.0,Sub-Saharan Africa (excluding high income),Upper middle income,0.54
Spain,ESP,2011,39626900.0,High income,High income,0.93
Sri Lanka,LKA,2011,15571720.0,South Asia (excluding high income),Lower middle income,0.69
Sudan,SDN,2011,19614991.0,Sub-Saharan Africa (excluding high income),Low income,0.07
Sweden,SWE,2011,7820937.0,High income,High income,0.99
Syrian Arab Republic,SYR,2011,14356499.0,Middle East & North Africa (excluding high income),Low income,0.23
"Taiwan, China",TWN,2011,19429474.0,High income,High income,0.87
Tajikistan,TJK,2011,4834891.0,Europe & Central Asia (excluding high income),Lower middle income,0.03
Tanzania,TZA,2011,24470055.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.17
Thailand,THA,2011,54766867.0,East Asia & Pacific (excluding high income),Upper middle income,0.73
Togo,TGO,2011,3932998.0,Sub-Saharan Africa (excluding high income),Low income,0.1
Trinidad and Tobago,TTO,2011,1050120.0,High income,High income,0.76
Turkiye,TUR,2011,54201890.0,Europe & Central Asia (excluding high income),Upper middle income,0.58
Turkmenistan,TKM,2011,3877998.0,Europe & Central Asia (excluding high income),Upper middle income,0.0
Uganda,UGA,2011,16363076.0,Sub-Saharan Africa (excluding high income),Low income,0.2
Ukraine,UKR,2011,39900312.0,Europe & Central Asia (excluding high income),Lower middle income,0.41
United Arab Emirates,ARE,2011,5710622.0,High income,High income,0.6
United Kingdom,GBR,2011,51619966.0,High income,High income,0.97
United States,USA,2011,248390172.0,High income,High income,0.88
Uruguay,URY,2011,2578893.0,High income,High income,0.24
Uzbekistan,UZB,2011,20171292.0,Europe & Central Asia (excluding high income),Lower middle income,0.23
"Venezuela, RB",VEN,2011,20199432.0,Latin America & Caribbean (excluding high income),Upper middle income,0.44
Viet Nam,VNM,2011,65955596.0,East Asia & Pacific (excluding high income),Lower middle income,0.21
West Bank and Gaza,PSE,2011,2199701.0,Middle East & North Africa (excluding high income),Lower middle income,0.19
"Yemen, Rep.",YEM,2011,15109759.0,Middle East & North Africa (excluding high income),Low income,0.04
Zambia,ZMB,2011,7506102.0,Sub-Saharan Africa (excluding high income),Low income,0.21
Zimbabwe,ZWE,2011,7608011.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.4
Afghanistan,AFG,2014,16708999.0,South Asia (excluding high income),Low income,0.1
Albania,ALB,2014,2322032.0,Europe & Central Asia (excluding high income),Upper middle income,0.38
Algeria,DZA,2014,27628433.0,Middle East & North Africa (excluding high income),Lower middle income,0.5
Angola,AGO,2014,14342950.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.29
Argentina,ARG,2014,31872846.0,Latin America & Caribbean (excluding high income),Upper middle income,0.5
Armenia,ARM,2014,2428128.0,Europe & Central Asia (excluding high income),Upper middle income,0.18
Australia,AUS,2014,18749193.0,High income,High income,0.99
Austria,AUT,2014,7260944.0,High income,High income,0.97
Azerbaijan,AZE,2014,7283305.0,Europe & Central Asia (excluding high income),Upper middle income,0.29
Bahrain,BHR,2014,1005566.0,High income,High income,0.82
Bangladesh,BGD,2014,105778630.0,South Asia (excluding high income),Lower middle income,0.31
Belarus,BLR,2014,7971997.0,Europe & Central Asia (excluding high income),Upper middle income,0.72
Belgium,BEL,2014,9263588.0,High income,High income,0.98
Belize,BLZ,2014,228016.0,Latin America & Caribbean (excluding high income),Upper middle income,0.48
Benin,BEN,2014,6043333.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.17
Bhutan,BTN,2014,523289.0,South Asia (excluding high income),Lower middle income,0.34
Bolivia,BOL,2014,7120716.0,Latin America & Caribbean (excluding high income),Lower middle income,0.42
Bosnia and Herzegovina,BIH,2014,3077307.0,Europe & Central Asia (excluding high income),Upper middle income,0.53
Botswana,BWA,2014,1405268.0,Sub-Saharan Africa (excluding high income),Upper middle income,0.52
Brazil,BRA,2014,152293155.0,Latin America & Caribbean (excluding high income),Upper middle income,0.68
Bulgaria,BGR,2014,6271977.0,Europe & Central Asia (excluding high income),Upper middle income,0.63
Burkina Faso,BFA,2014,9623020.0,Sub-Saharan Africa (excluding high income),Low income,0.14
Burundi,BDI,2014,5630929.0,Sub-Saharan Africa (excluding high income),Low income,0.07
Cambodia,KHM,2014,10284331.0,East Asia & Pacific (excluding high income),Lower middle income,0.22
Cameroon,CMR,2014,12084831.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.12
Canada,CAN,2014,29372810.0,High income,High income,0.99
Chad,TCD,2014,7035329.0,Sub-Saharan Africa (excluding high income),Low income,0.12
Chile,CHL,2014,14064832.0,High income,High income,0.63
China,CHN,2014,1113693456.0,East Asia & Pacific (excluding high income),Upper middle income,0.79
Colombia,COL,2014,34309704.0,Latin America & Caribbean (excluding high income),Upper middle income,0.39
"Congo, Dem. Rep.",COD,2014,40959603.0,Sub-Saharan Africa (excluding high income),Low income,0.17
"Congo, Rep.",COG,2014,2849454.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.17
Costa Rica,CRI,2014,3611461.0,Latin America & Caribbean (excluding high income),Upper middle income,0.65
Cote d'Ivoire,CIV,2014,13848553.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.34
Croatia,HRV,2014,3606895.0,High income,High income,0.86
Cyprus,CYP,2014,991903.0,High income,High income,0.9
Czechia,CZE,2014,8944904.0,High income,High income,0.82
Denmark,DNK,2014,4641892.0,High income,High income,1.0
Dominican Republic,DOM,2014,7152325.0,Latin America & Caribbean (excluding high income),Upper middle income,0.54
Ecuador,ECU,2014,11054660.0,Latin America & Caribbean (excluding high income),Upper middle income,0.46
"Egypt, Arab Rep.",EGY,2014,63009609.0,Middle East & North Africa (excluding high income),Lower middle income,0.14
El Salvador,SLV,2014,4304307.0,Latin America & Caribbean (excluding high income),Lower middle income,0.37
Estonia,EST,2014,1110561.0,High income,High income,0.98
Ethiopia,ETH,2014,55109169.0,Sub-Saharan Africa (excluding high income),Low income,0.22
Finland,FIN,2014,4545771.0,High income,High income,1.0
France,FRA,2014,53825137.0,High income,High income,0.97
Gabon,GAB,2014,1209169.0,Sub-Saharan Africa (excluding high income),Upper middle income,0.33
Georgia,GEO,2014,3020250.0,Europe & Central Asia (excluding high income),Upper middle income,0.4
Germany,DEU,2014,69974132.0,High income,High income,0.99
Ghana,GHA,2014,16743744.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.41
Greece,GRC,2014,9357686.0,High income,High income,0.88
Guatemala,GTM,2014,9616393.0,Latin America & Caribbean (excluding high income),Upper middle income,0.41
Guinea,GIN,2014,6293415.0,Sub-Saharan Africa (excluding high income),Low income,0.07
Haiti,HTI,2014,6636287.0,Latin America & Caribbean (excluding high income),Lower middle income,0.19
Honduras,HND,2014,5672647.0,Latin America & Caribbean (excluding high income),Lower middle income,0.31
"Hong Kong SAR, China",HKG,2014,6342961.0,High income,High income,0.96
Hungary,HUN,2014,8464202.0,High income,High income,0.72
India,IND,2014,907853291.0,South Asia (excluding high income),Lower middle income,0.53
Indonesia,IDN,2014,185894322.0,East Asia & Pacific (excluding high income),Lower middle income,0.36
"Iran, Islamic Rep.",IRN,2014,61676328.0,Middle East & North Africa (excluding high income),Lower middle income,0.92
Iraq,IRQ,2014,20884823.0,Middle East & North Africa (excluding high income),Upper middle income,0.11
Ireland,IRL,2014,3629630.0,High income,High income,0.95
Israel,ISR,2014,5787501.0,High income,High income,0.9
Italy,ITA,2014,51850742.0,High income,High income,0.87
Jamaica,JAM,2014,2096466.0,Latin America & Caribbean (excluding high income),Upper middle income,0.78
Japan,JPN,2014,110762343.0,High income,High income,0.97
Jordan,JOR,2014,5205320.0,Middle East & North Africa (excluding high income),Upper middle income,0.25
Kazakhstan,KAZ,2014,12875804.0,Europe & Central Asia (excluding high income),Upper middle income,0.54
Kenya,KEN,2014,25714887.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.75
"Korea, Rep.",KOR,2014,43035419.0,High income,High income,0.94
Kosovo,XKX,2014,1334099.0,Europe & Central Asia (excluding high income),Upper middle income,0.48
Kuwait,KWT,2014,2736473.0,High income,High income,0.73
Kyrgyz Republic,KGZ,2014,3978542.0,Europe & Central Asia (excluding high income),Lower middle income,0.18
Latvia,LVA,2014,1719348.0,High income,High income,0.9
Lebanon,LBN,2014,4265657.0,Middle East & North Africa (excluding high income),Lower middle income,0.47
Lithuania,LTU,2014,2524428.0,High income,High income,0.78
Luxembourg,LUX,2014,451457.0,High income,High income,0.96
Madagascar,MDG,2014,13785487.0,Sub-Saharan Africa (excluding high income),Low income,0.09
Malawi,MWI,2014,8735190.0,Sub-Saharan Africa (excluding high income),Low income,0.18
Malaysia,MYS,2014,22158615.0,East Asia & Pacific (excluding high income),Upper middle income,0.81
Mali,MLI,2014,9100789.0,Sub-Saharan Africa (excluding high income),Low income,0.2
Malta,MLT,2014,364279.0,High income,High income,0.96
Mauritania,MRT,2014,2084692.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.23
Mauritius,MUS,2014,1010413.0,Sub-Saharan Africa (excluding high income),Upper middle income,0.82
Mexico,MEX,2014,84399247.0,Latin America & Caribbean (excluding high income),Upper middle income,0.39
Moldova,MDA,2014,2361002.0,Europe & Central Asia (excluding high income),Upper middle income,0.18
Mongolia,MNG,2014,2074233.0,East Asia & Pacific (excluding high income),Lower middle income,0.92
Montenegro,MNE,2014,504976.0,Europe & Central Asia (excluding high income),Upper middle income,0.6
Myanmar,MMR,2014,36618649.0,East Asia & Pacific (excluding high income),Lower middle income,0.23
Namibia,NAM,2014,1427950.0,Sub-Saharan Africa (excluding high income),Upper middle income,0.59
Nepal,NPL,2014,18161615.0,South Asia (excluding high income),Lower middle income,0.34
Netherlands,NLD,2014,13933854.0,High income,High income,0.99
New Zealand,NZL,2014,3534713.0,High income,High income,1.0
Nicaragua,NIC,2014,4012287.0,Latin America & Caribbean (excluding high income),Lower middle income,0.19
Niger,NER,2014,9371030.0,Sub-Saharan Africa (excluding high income),Low income,0.07
Nigeria,NGA,2014,100567840.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.44
North Macedonia,MKD,2014,1565432.0,Europe & Central Asia (excluding high income),Upper middle income,0.72
Norway,NOR,2014,4150602.0,High income,High income,1.0
Pakistan,PAK,2014,128875593.0,South Asia (excluding high income),Lower middle income,0.13
Panama,PAN,2014,2737867.0,High income,High income,0.44
Peru,PER,2014,21413567.0,Latin America & Caribbean (excluding high income),Upper middle income,0.29
Philippines,PHL,2014,66911959.0,East Asia & Pacific (excluding high income),Lower middle income,0.31
Poland,POL,2014,32293711.0,High income,High income,0.78
Portugal,PRT,2014,8911922.0,High income,High income,0.87
Puerto Rico,PRI,2014,2955855.0,High income,High income,0.7
Romania,ROU,2014,16846776.0,High income,High income,0.61
Russian Federation,RUS,2014,120673872.0,Europe & Central Asia (excluding high income),Upper middle income,0.67
Rwanda,RWA,2014,6472142.0,Sub-Saharan Africa (excluding high income),Low income,0.42
Saudi Arabia,SAU,2014,20496432.0,High income,High income,0.69
Senegal,SEN,2014,7858967.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.15
Serbia,SRB,2014,6141282.0,Europe & Central Asia (excluding high income),Upper middle income,0.83
Sierra Leone,SLE,2014,3858836.0,Sub-Saharan Africa (excluding high income),Low income,0.16
Singapore,SGP,2014,4691514.0,High income,High income,0.96
Slovak Republic,SVK,2014,4582684.0,High income,High income,0.77
Slovenia,SVN,2014,1759867.0,High income,High income,0.97
Somalia,SOM,2014,6719620.0,Sub-Saharan Africa (excluding high income),Low income,0.39
South Africa,ZAF,2014,38992463.0,Sub-Saharan Africa (excluding high income),Upper middle income,0.7
Spain,ESP,2014,39593406.0,High income,High income,0.98
Sri Lanka,LKA,2014,15433197.0,South Asia (excluding high income),Lower middle income,0.83
Sudan,SDN,2014,21021157.0,Sub-Saharan Africa (excluding high income),Low income,0.15
Sweden,SWE,2014,7971436.0,High income,High income,1.0
Switzerland,CHE,2014,6883205.0,High income,High income,0.98
"Taiwan, China",TWN,2014,19968635.0,High income,High income,0.91
Tajikistan,TJK,2014,5217089.0,Europe & Central Asia (excluding high income),Lower middle income,0.11
Tanzania,TZA,2014,26884351.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.4
Thailand,THA,2014,56707280.0,East Asia & Pacific (excluding high income),Upper middle income,0.78
Togo,TGO,2014,4254423.0,Sub-Saharan Africa (excluding high income),Low income,0.18
Tunisia,TUN,2014,8426960.0,Middle East & North Africa (excluding high income),Lower middle income,0.27
Turkiye,TUR,2014,57336171.0,Europe & Central Asia (excluding high income),Upper middle income,0.57
Uganda,UGA,2014,18082753.0,Sub-Saharan Africa (excluding high income),Low income,0.44
Ukraine,UKR,2014,39385204.0,Europe & Central Asia (excluding high income),Lower middle income,0.53
United Arab Emirates,ARE,2014,6398423.0,High income,High income,0.84
United Kingdom,GBR,2014,52712003.0,High income,High income,0.99
United States,USA,2014,254715188.0,High income,High income,0.94
Uruguay,URY,2014,2625287.0,High income,High income,0.46
Uzbekistan,UZB,2014,21374576.0,Europe & Central Asia (excluding high income),Lower middle income,0.41
"Venezuela, RB",VEN,2014,21274157.0,Latin America & Caribbean (excluding high income),Upper middle income,0.57
Viet Nam,VNM,2014,68893679.0,East Asia & Pacific (excluding high income),Lower middle income,0.31
West Bank and Gaza,PSE,2014,2416583.0,Middle East & North Africa (excluding high income),Lower middle income,0.24
"Yemen, Rep.",YEM,2014,16904246.0,Middle East & North Africa (excluding high income),Low income,0.06
Zambia,ZMB,2014,8358295.0,Sub-Saharan Africa (excluding high income),Low income,0.36
Zimbabwe,ZWE,2014,7862617.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.32
Afghanistan,AFG,2017,18807229.0,South Asia (excluding high income),Low income,0.15
Albania,ALB,2017,2340965.0,Europe & Central Asia (excluding high income),Upper middle income,0.4
Algeria,DZA,2017,28799702.0,Middle East & North Africa (excluding high income),Lower middle income,0.43
Argentina,ARG,2017,33036043.0,Latin America & Caribbean (excluding high income),Upper middle income,0.49
Armenia,ARM,2017,2384230.0,Europe & Central Asia (excluding high income),Upper middle income,0.48
Australia,AUS,2017,19621820.0,High income,High income,1.0
Austria,AUT,2017,7481549.0,High income,High income,0.98
Azerbaijan,AZE,2017,7438923.0,Europe & Central Asia (excluding high income),Upper middle income,0.29
Bahrain,BHR,2017,1137724.0,High income,High income,0.83
Bangladesh,BGD,2017,111658076.0,South Asia (excluding high income),Lower middle income,0.5
Belarus,BLR,2017,7909969.0,Europe & Central Asia (excluding high income),Upper middle income,0.81
Belgium,BEL,2017,9407055.0,High income,High income,0.99
Benin,BEN,2017,6631280.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.38
Bolivia,BOL,2017,7571421.0,Latin America & Caribbean (excluding high income),Lower middle income,0.54
Bosnia and Herzegovina,BIH,2017,2982772.0,Europe & Central Asia (excluding high income),Upper middle income,0.59
Botswana,BWA,2017,1470809.0,Sub-Saharan Africa (excluding high income),Upper middle income,0.51
Brazil,BRA,2017,158478074.0,Latin America & Caribbean (excluding high income),Upper middle income,0.7
Bulgaria,BGR,2017,6128150.0,Europe & Central Asia (excluding high income),Upper middle income,0.72
Burkina Faso,BFA,2017,10570484.0,Sub-Saharan Africa (excluding high income),Low income,0.43
Cambodia,KHM,2017,10807431.0,East Asia & Pacific (excluding high income),Lower middle income,0.22
Cameroon,CMR,2017,13358414.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.35
Canada,CAN,2017,30253020.0,High income,High income,1.0
Central African Republic,CAF,2017,2404000.0,Sub-Saharan Africa (excluding high income),Low income,0.14
Chad,TCD,2017,7782131.0,Sub-Saharan Africa (excluding high income),Low income,0.22
Chile,CHL,2017,14675996.0,High income,High income,0.74
China,CHN,2017,1133758537.0,East Asia & Pacific (excluding high income),Upper middle income,0.8
Colombia,COL,2017,36092425.0,Latin America & Caribbean (excluding high income),Upper middle income,0.46
"Congo, Dem. Rep.",COD,2017,45407203.0,Sub-Saharan Africa (excluding high income),Low income,0.26
"Congo, Rep.",COG,2017,3026298.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.26
Costa Rica,CRI,2017,3790388.0,Latin America & Caribbean (excluding high income),Upper middle income,0.68
Cote d'Ivoire,CIV,2017,14983416.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.41
Croatia,HRV,2017,3508155.0,High income,High income,0.86
Cyprus,CYP,2017,1039880.0,High income,High income,0.89
Czechia,CZE,2017,8934395.0,High income,High income,0.81
Denmark,DNK,2017,4767144.0,High income,High income,1.0
Dominican Republic,DOM,2017,7508555.0,Latin America & Caribbean (excluding high income),Upper middle income,0.56
Ecuador,ECU,2017,11800828.0,Latin America & Caribbean (excluding high income),Upper middle income,0.51
"Egypt, Arab Rep.",EGY,2017,66961302.0,Middle East & North Africa (excluding high income),Lower middle income,0.33
El Salvador,SLV,2017,4464670.0,Latin America & Caribbean (excluding high income),Lower middle income,0.3
Estonia,EST,2017,1103273.0,High income,High income,0.98
Ethiopia,ETH,2017,61575604.0,Sub-Saharan Africa (excluding high income),Low income,0.35
Finland,FIN,2017,4600229.0,High income,High income,1.0
France,FRA,2017,54658275.0,High income,High income,0.94
Gabon,GAB,2017,1332068.0,Sub-Saharan Africa (excluding high income),Upper middle income,0.59
"Gambia, The",GMB,2017,1294272.0,Sub-Saharan Africa (excluding high income),Low income,0.29
Georgia,GEO,2017,2987888.0,Europe & Central Asia (excluding high income),Upper middle income,0.61
Germany,DEU,2017,71374479.0,High income,High income,0.99
Ghana,GHA,2017,18083712.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.58
Greece,GRC,2017,9220190.0,High income,High income,0.85
Guatemala,GTM,2017,10430246.0,Latin America & Caribbean (excluding high income),Upper middle income,0.44
Guinea,GIN,2017,6873506.0,Sub-Saharan Africa (excluding high income),Low income,0.23
Haiti,HTI,2017,7048972.0,Latin America & Caribbean (excluding high income),Lower middle income,0.33
Honduras,HND,2017,6185475.0,Latin America & Caribbean (excluding high income),Lower middle income,0.45
"Hong Kong SAR, China",HKG,2017,6493265.0,High income,High income,0.95
Hungary,HUN,2017,8389859.0,High income,High income,0.75
India,IND,2017,962463650.0,South Asia (excluding high income),Lower middle income,0.8
Indonesia,IDN,2017,193777030.0,East Asia & Pacific (excluding high income),Lower middle income,0.49
