countrynewwb,codewb,year,pop_adult,regionwb24_hi,incomegroupwb24,account_t_d,capital_api,region_api,subregion_api,flag_url,local_flag_path
Finland,FIN,2011,4475337.0,High income,High income,1.0,Helsinki,Europe,Northern Europe,https://flagcdn.com/w320/fi.png,..\output\imagenes_procesadas\fi.jpg
France,FRA,2011,52976120.0,High income,High income,0.97,Paris,Europe,Western Europe,https://flagcdn.com/w320/fr.png,..\output\imagenes_procesadas\fr.jpg
Gabon,GAB,2011,1077711.0,Sub-Saharan Africa (excluding high income),Upper middle income,0.19,Libreville,Africa,Middle Africa,https://flagcdn.com/w320/ga.png,..\output\imagenes_procesadas\ga.jpg
Georgia,GEO,2011,3084171.0,Europe & Central Asia (excluding high income),Upper middle income,0.33,Tbilisi,Asia,Western Asia,https://flagcdn.com/w320/ge.png,..\output\imagenes_procesadas\ge.jpg
Germany,DEU,2011,70576834.0,High income,High income,0.98,Berlin,Europe,Central Europe,https://flagcdn.com/w320/de.png,..\output\imagenes_procesadas\de.jpg
Ghana,GHA,2011,15512209.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.29,Accra,Africa,Western Africa,https://flagcdn.com/w320/gh.png,..\output\imagenes_procesadas\gh.jpg
Greece,GRC,2011,9493929.0,High income,High income,0.78,Athens,Europe,Southern Europe,https://flagcdn.com/w320/gr.png,..\output\imagenes_procesadas\gr.jpg
Guatemala,GTM,2011,8804525.0,Latin America & Caribbean (excluding high income),Upper middle income,0.22,Guatemala City,Americas,Central America,https://flagcdn.com/w320/gt.png,..\output\imagenes_procesadas\gt.jpg
Guinea,GIN,2011,5771983.0,Sub-Saharan Africa (excluding high income),Low income,0.04,Conakry,Africa,Western Africa,https://flagcdn.com/w320/gn.png,..\output\imagenes_procesadas\gn.jpg
Haiti,HTI,2011,6250015.0,Latin America & Caribbean (excluding high income),Lower middle income,0.22,Port-au-Prince,Americas,Caribbean,https://flagcdn.com/w320/ht.png,..\output\imagenes_procesadas\ht.jpg
Honduras,HND,2011,5181064.0,Latin America & Caribbean (excluding high income),Lower middle income,0.21,Tegucigalpa,Americas,Central America,https://flagcdn.com/w320/hn.png,..\output\imagenes_procesadas\hn.jpg
Hungary,HUN,2011,8529919.0,High income,High income,0.73,Budapest,Europe,Central Europe,https://flagcdn.com/w320/hu.png,..\output\imagenes_procesadas\hu.jpg
India,IND,2011,853745004.0,South Asia (excluding high income),Lower middle income,0.35,New Delhi,Asia,Southern Asia,https://flagcdn.com/w320/in.png,..\output\imagenes_procesadas\in.jpg
Indonesia,IDN,2011,177530453.0,East Asia & Pacific (excluding high income),Lower middle income,0.2,Jakarta,Asia,South-Eastern Asia,https://flagcdn.com/w320/id.png,..\output\imagenes_procesadas\id.jpg
Iraq,IRQ,2011,18241367.0,Middle East & North Africa (excluding high income),Upper middle income,0.11,Baghdad,Asia,Western Asia,https://flagcdn.com/w320/iq.png,..\output\imagenes_procesadas\iq.jpg
Ireland,IRL,2011,3598499.0,High income,High income,0.94,Dublin,Europe,Northern Europe,https://flagcdn.com/w320/ie.png,..\output\imagenes_procesadas\ie.jpg
Israel,ISR,2011,5491153.0,High income,High income,0.9,Jerusalem,Asia,Western Asia,https://flagcdn.com/w320/il.png,..\output\imagenes_procesadas\il.jpg
Italy,ITA,2011,50957209.0,High income,High income,0.71,Rome,Europe,Southern Europe,https://flagcdn.com/w320/it.png,..\output\imagenes_procesadas\it.jpg
Jamaica,JAM,2011,2007871.0,Latin America & Caribbean (excluding high income),Upper middle income,0.71,Kingston,Americas,Caribbean,https://flagcdn.com/w320/jm.png,..\output\imagenes_procesadas\jm.jpg
Japan,JPN,2011,110945852.0,High income,High income,0.96,Tokyo,Asia,Eastern Asia,https://flagcdn.com/w320/jp.png,..\output\imagenes_procesadas\jp.jpg
Jordan,JOR,2011,4670454.0,Middle East & North Africa (excluding high income),Upper middle income,0.25,Amman,Asia,Western Asia,https://flagcdn.com/w320/jo.png,..\output\imagenes_procesadas\jo.jpg
Kazakhstan,KAZ,2011,12564991.0,Europe & Central Asia (excluding high income),Upper middle income,0.42,Astana,Asia,Central Asia,https://flagcdn.com/w320/kz.png,..\output\imagenes_procesadas\kz.jpg
Kenya,KEN,2011,23450849.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.42,Nairobi,Africa,Eastern Africa,https://flagcdn.com/w320/ke.png,..\output\imagenes_procesadas\ke.jpg
Kosovo,XKX,2011,1287712.0,Europe & Central Asia (excluding high income),Upper middle income,0.44,Pristina,Europe,Eastern Europe,https://flagcdn.com/w320/xk.png,..\output\imagenes_procesadas\xk.jpg
Kuwait,KWT,2011,2266476.0,High income,High income,0.87,Kuwait City,Asia,Western Asia,https://flagcdn.com/w320/kw.png,..\output\imagenes_procesadas\kw.jpg
Latvia,LVA,2011,1800178.0,High income,High income,0.9,Riga,Europe,Northern Europe,https://flagcdn.com/w320/lv.png,..\output\imagenes_procesadas\lv.jpg
Lebanon,LBN,2011,3709897.0,Middle East & North Africa (excluding high income),Lower middle income,0.37,Beirut,Asia,Western Asia,https://flagcdn.com/w320/lb.png,..\output\imagenes_procesadas\lb.jpg
Lesotho,LSO,2011,1266790.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.18,Maseru,Africa,Southern Africa,https://flagcdn.com/w320/ls.png,..\output\imagenes_procesadas\ls.jpg
Liberia,LBR,2011,2309936.0,Sub-Saharan Africa (excluding high income),Low income,0.19,Monrovia,Africa,Western Africa,https://flagcdn.com/w320/lr.png,..\output\imagenes_procesadas\lr.jpg
Lithuania,LTU,2011,2635099.0,High income,High income,0.74,Vilnius,Europe,Northern Europe,https://flagcdn.com/w320/lt.png,..\output\imagenes_procesadas\lt.jpg
Luxembourg,LUX,2011,417441.0,High income,High income,0.95,Luxembourg,Europe,Western Europe,https://flagcdn.com/w320/lu.png,..\output\imagenes_procesadas\lu.jpg
Madagascar,MDG,2011,12419251.0,Sub-Saharan Africa (excluding high income),Low income,0.06,Antananarivo,Africa,Eastern Africa,https://flagcdn.com/w320/mg.png,..\output\imagenes_procesadas\mg.jpg
Malawi,MWI,2011,7972899.0,Sub-Saharan Africa (excluding high income),Low income,0.17,Lilongwe,Africa,Eastern Africa,https://flagcdn.com/w320/mw.png,..\output\imagenes_procesadas\mw.jpg
Malaysia,MYS,2011,20649116.0,East Asia & Pacific (excluding high income),Upper middle income,0.66,Kuala Lumpur,Asia,South-Eastern Asia,https://flagcdn.com/w320/my.png,..\output\imagenes_procesadas\my.jpg
Mali,MLI,2011,8429981.0,Sub-Saharan Africa (excluding high income),Low income,0.08,Bamako,Africa,Western Africa,https://flagcdn.com/w320/ml.png,..\output\imagenes_procesadas\ml.jpg
Malta,MLT,2011,351508.0,High income,High income,0.95,Valletta,Europe,Southern Europe,https://flagcdn.com/w320/mt.png,..\output\imagenes_procesadas\mt.jpg
Mauritania,MRT,2011,1903527.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.17,Nouakchott,Africa,Western Africa,https://flagcdn.com/w320/mr.png,..\output\imagenes_procesadas\mr.jpg
Mauritius,MUS,2011,986634.0,Sub-Saharan Africa (excluding high income),Upper middle income,0.8,Port Louis,Africa,Eastern Africa,https://flagcdn.com/w320/mu.png,..\output\imagenes_procesadas\mu.jpg
Mexico,MEX,2011,79795751.0,Latin America & Caribbean (excluding high income),Upper middle income,0.27,Mexico City,Americas,North America,https://flagcdn.com/w320/mx.png,..\output\imagenes_procesadas\mx.jpg
Moldova,MDA,2011,2361620.0,Europe & Central Asia (excluding high income),Upper middle income,0.18,Chișinău,Europe,Eastern Europe,https://flagcdn.com/w320/md.png,..\output\imagenes_procesadas\md.jpg
Mongolia,MNG,2011,1973485.0,East Asia & Pacific (excluding high income),Lower middle income,0.78,Ulan Bator,Asia,Eastern Asia,https://flagcdn.com/w320/mn.png,..\output\imagenes_procesadas\mn.jpg
Montenegro,MNE,2011,500343.0,Europe & Central Asia (excluding high income),Upper middle income,0.5,Podgorica,Europe,Southern Europe,https://flagcdn.com/w320/me.png,..\output\imagenes_procesadas\me.jpg
Nepal,NPL,2011,17498633.0,South Asia (excluding high income),Lower middle income,0.25,Kathmandu,Asia,Southern Asia,https://flagcdn.com/w320/np.png,..\output\imagenes_procesadas\np.jpg
Netherlands,NLD,2011,13694510.0,High income,High income,0.99,Amsterdam,Europe,Western Europe,https://flagcdn.com/w320/nl.png,..\output\imagenes_procesadas\nl.jpg
New Zealand,NZL,2011,3443024.0,High income,High income,0.99,Wellington,Oceania,Australia and New Zealand,https://flagcdn.com/w320/nz.png,..\output\imagenes_procesadas\nz.jpg
Nicaragua,NIC,2011,3774402.0,Latin America & Caribbean (excluding high income),Lower middle income,0.14,Managua,Americas,Central America,https://flagcdn.com/w320/ni.png,..\output\imagenes_procesadas\ni.jpg
Niger,NER,2011,8376813.0,Sub-Saharan Africa (excluding high income),Low income,0.02,Niamey,Africa,Western Africa,https://flagcdn.com/w320/ne.png,..\output\imagenes_procesadas\ne.jpg
Nigeria,NGA,2011,92621676.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.3,Abuja,Africa,Western Africa,https://flagcdn.com/w320/ng.png,..\output\imagenes_procesadas\ng.jpg
North Macedonia,MKD,2011,1569860.0,Europe & Central Asia (excluding high income),Upper middle income,0.74,Skopje,Europe,Southern Europe,https://flagcdn.com/w320/mk.png,..\output\imagenes_procesadas\mk.jpg
Oman,OMN,2011,1989124.0,High income,High income,0.74,Muscat,Asia,Western Asia,https://flagcdn.com/w320/om.png,..\output\imagenes_procesadas\om.jpg
Pakistan,PAK,2011,120857470.0,South Asia (excluding high income),Lower middle income,0.1,Islamabad,Asia,Southern Asia,https://flagcdn.com/w320/pk.png,..\output\imagenes_procesadas\pk.jpg
Panama,PAN,2011,2569368.0,High income,High income,0.25,Panama City,Americas,Central America,https://flagcdn.com/w320/pa.png,..\output\imagenes_procesadas\pa.jpg
Paraguay,PRY,2011,3870412.0,Latin America & Caribbean (excluding high income),Upper middle income,0.22,Asunción,Americas,South America,https://flagcdn.com/w320/py.png,..\output\imagenes_procesadas\py.jpg
Peru,PER,2011,20570757.0,Latin America & Caribbean (excluding high income),Upper middle income,0.2,Lima,Americas,South America,https://flagcdn.com/w320/pe.png,..\output\imagenes_procesadas\pe.jpg
Philippines,PHL,2011,62034866.0,East Asia & Pacific (excluding high income),Lower middle income,0.27,Manila,Asia,South-Eastern Asia,https://flagcdn.com/w320/ph.png,..\output\imagenes_procesadas\ph.jpg
Poland,POL,2011,32308457.0,High income,High income,0.7,Warsaw,Europe,Central Europe,https://flagcdn.com/w320/pl.png,..\output\imagenes_procesadas\pl.jpg
Portugal,PRT,2011,8967347.0,High income,High income,0.81,Lisbon,Europe,Southern Europe,https://flagcdn.com/w320/pt.png,..\output\imagenes_procesadas\pt.jpg
Qatar,QAT,2011,1392286.0,High income,High income,0.66,Doha,Asia,Western Asia,https://flagcdn.com/w320/qa.png,..\output\imagenes_procesadas\qa.jpg
Romania,ROU,2011,17058580.0,High income,High income,0.45,Bucharest,Europe,Eastern Europe,https://flagcdn.com/w320/ro.png,..\output\imagenes_procesadas\ro.jpg
Russian Federation,RUS,2011,121177141.0,Europe & Central Asia (excluding high income),Upper middle income,0.48,Moscow,Europe,Eastern Europe,https://flagcdn.com/w320/ru.png,..\output\imagenes_procesadas\ru.jpg
Rwanda,RWA,2011,5941330.0,Sub-Saharan Africa (excluding high income),Low income,0.33,Kigali,Africa,Eastern Africa,https://flagcdn.com/w320/rw.png,..\output\imagenes_procesadas\rw.jpg
Saudi Arabia,SAU,2011,17354530.0,High income,High income,0.46,Riyadh,Asia,Western Asia,https://flagcdn.com/w320/sa.png,..\output\imagenes_procesadas\sa.jpg
Senegal,SEN,2011,7243499.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.06,Dakar,Africa,Western Africa,https://flagcdn.com/w320/sn.png,..\output\imagenes_procesadas\sn.jpg
Serbia,SRB,2011,6237019.0,Europe & Central Asia (excluding high income),Upper middle income,0.62,Belgrade,Europe,Southern Europe,https://flagcdn.com/w320/rs.png,..\output\imagenes_procesadas\rs.jpg
Sierra Leone,SLE,2011,3534329.0,Sub-Saharan Africa (excluding high income),Low income,0.15,Freetown,Africa,Western Africa,https://flagcdn.com/w320/sl.png,..\output\imagenes_procesadas\sl.jpg
Singapore,SGP,2011,4359214.0,High income,High income,0.98,Singapore,Asia,South-Eastern Asia,https://flagcdn.com/w320/sg.png,..\output\imagenes_procesadas\sg.jpg
Slovenia,SVN,2011,1758964.0,High income,High income,0.97,Ljubljana,Europe,Southern Europe,https://flagcdn.com/w320/si.png,..\output\imagenes_procesadas\si.jpg
South Africa,ZAF,2011,36953226.0,Sub-Saharan Africa (excluding high income),Upper middle income,0.54,Pretoria,Africa,Southern Africa,https://flagcdn.com/w320/za.png,..\output\imagenes_procesadas\za.jpg
Spain,ESP,2011,39626900.0,High income,High income,0.93,Madrid,Europe,Southern Europe,https://flagcdn.com/w320/es.png,..\output\imagenes_procesadas\es.jpg
Sri Lanka,LKA,2011,15571720.0,South Asia (excluding high income),Lower middle income,0.69,Sri Jayawardenepura Kotte,Asia,Southern Asia,https://flagcdn.com/w320/lk.png,..\output\imagenes_procesadas\lk.jpg
Sudan,SDN,2011,19614991.0,Sub-Saharan Africa (excluding high income),Low income,0.07,Khartoum,Africa,Northern Africa,https://flagcdn.com/w320/sd.png,..\output\imagenes_procesadas\sd.jpg
Sweden,SWE,2011,7820937.0,High income,High income,0.99,Stockholm,Europe,Northern Europe,https://flagcdn.com/w320/se.png,..\output\imagenes_procesadas\se.jpg
Syrian Arab Republic,SYR,2011,14356499.0,Middle East & North Africa (excluding high income),Low income,0.23,Damascus,Asia,Western Asia,https://flagcdn.com/w320/sy.png,..\output\imagenes_procesadas\sy.jpg
Tajikistan,TJK,2011,4834891.0,Europe & Central Asia (excluding high income),Lower middle income,0.03,Dushanbe,Asia,Central Asia,https://flagcdn.com/w320/tj.png,..\output\imagenes_procesadas\tj.jpg
Tanzania,TZA,2011,24470055.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.17,Dodoma,Africa,Eastern Africa,https://flagcdn.com/w320/tz.png,..\output\imagenes_procesadas\tz.jpg
Thailand,THA,2011,54766867.0,East Asia & Pacific (excluding high income),Upper middle income,0.73,Bangkok,Asia,South-Eastern Asia,https://flagcdn.com/w320/th.png,..\output\imagenes_procesadas\th.jpg
Togo,TGO,2011,3932998.0,Sub-Saharan Africa (excluding high income),Low income,0.1,Lomé,Africa,Western Africa,https://flagcdn.com/w320/tg.png,..\output\imagenes_procesadas\tg.jpg
Trinidad and Tobago,TTO,2011,1050120.0,High income,High income,0.76,Port of Spain,Americas,Caribbean,https://flagcdn.com/w320/tt.png,..\output\imagenes_procesadas\tt.jpg
Turkmenistan,TKM,2011,3877998.0,Europe & Central Asia (excluding high income),Upper middle income,0.0,Ashgabat,Asia,Central Asia,https://flagcdn.com/w320/tm.png,..\output\imagenes_procesadas\tm.jpg
Uganda,UGA,2011,16363076.0,Sub-Saharan Africa (excluding high income),Low income,0.2,Kampala,Africa,Eastern Africa,https://flagcdn.com/w320/ug.png,..\output\imagenes_procesadas\ug.jpg
Ukraine,UKR,2011,39900312.0,Europe & Central Asia (excluding high income),Lower middle income,0.41,Kyiv,Europe,Eastern Europe,https://flagcdn.com/w320/ua.png,..\output\imagenes_procesadas\ua.jpg
United Arab Emirates,ARE,2011,5710622.0,High income,High income,0.6,Abu Dhabi,Asia,Western Asia,https://flagcdn.com/w320/ae.png,..\output\imagenes_procesadas\ae.jpg
United Kingdom,GBR,2011,51619966.0,High income,High income,0.97,London,Europe,Northern Europe,https://flagcdn.com/w320/gb.png,..\output\imagenes_procesadas\gb.jpg
United States,USA,2011,248390172.0,High income,High income,0.88,,Americas,Northern America,https://flagcdn.com/w320/um.png,..\output\imagenes_procesadas\um.jpg
Uruguay,URY,2011,2578893.0,High income,High income,0.24,Montevideo,Americas,South America,https://flagcdn.com/w320/uy.png,..\output\imagenes_procesadas\uy.jpg
Uzbekistan,UZB,2011,20171292.0,Europe & Central Asia (excluding high income),Lower middle income,0.23,Tashkent,Asia,Central Asia,https://flagcdn.com/w320/uz.png,..\output\imagenes_procesadas\uz.jpg
Zambia,ZMB,2011,7506102.0,Sub-Saharan Africa (excluding high income),Low income,0.21,Lusaka,Africa,Eastern Africa,https://flagcdn.com/w320/zm.png,..\output\imagenes_procesadas\zm.jpg
Zimbabwe,ZWE,2011,7608011.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.4,Harare,Africa,Southern Africa,https://flagcdn.com/w320/zw.png,..\output\imagenes_procesadas\zw.jpg
Afghanistan,AFG,2014,16708999.0,South Asia (excluding high income),Low income,0.1,Kabul,Asia,Southern Asia,https://flagcdn.com/w320/af.png,..\output\imagenes_procesadas\af.jpg
Albania,ALB,2014,2322032.0,Europe & Central Asia (excluding high income),Upper middle income,0.38,Tirana,Europe,Southern Europe,https://flagcdn.com/w320/al.png,..\output\imagenes_procesadas\al.jpg
Algeria,DZA,2014,27628433.0,Middle East & North Africa (excluding high income),Lower middle income,0.5,Algiers,Africa,Northern Africa,https://flagcdn.com/w320/dz.png,..\output\imagenes_procesadas\dz.jpg
Angola,AGO,2014,14342950.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.29,Luanda,Africa,Middle Africa,https://flagcdn.com/w320/ao.png,..\output\imagenes_procesadas\ao.jpg
Argentina,ARG,2014,31872846.0,Latin America & Caribbean (excluding high income),Upper middle income,0.5,Buenos Aires,Americas,South America,https://flagcdn.com/w320/ar.png,..\output\imagenes_procesadas\ar.jpg
Armenia,ARM,2014,2428128.0,Europe & Central Asia (excluding high income),Upper middle income,0.18,Yerevan,Asia,Western Asia,https://flagcdn.com/w320/am.png,..\output\imagenes_procesadas\am.jpg
Australia,AUS,2014,18749193.0,High income,High income,0.99,Canberra,Oceania,Australia and New Zealand,https://flagcdn.com/w320/au.png,..\output\imagenes_procesadas\au.jpg
Austria,AUT,2014,7260944.0,High income,High income,0.97,Vienna,Europe,Central Europe,https://flagcdn.com/w320/at.png,..\output\imagenes_procesadas\at.jpg
Azerbaijan,AZE,2014,7283305.0,Europe & Central Asia (excluding high income),Upper middle income,0.29,Baku,Asia,Western Asia,https://flagcdn.com/w320/az.png,..\output\imagenes_procesadas\az.jpg
Bahrain,BHR,2014,1005566.0,High income,High income,0.82,Manama,Asia,Western Asia,https://flagcdn.com/w320/bh.png,..\output\imagenes_procesadas\bh.jpg
Bangladesh,BGD,2014,105778630.0,South Asia (excluding high income),Lower middle income,0.31,Dhaka,Asia,Southern Asia,https://flagcdn.com/w320/bd.png,..\output\imagenes_procesadas\bd.jpg
Belarus,BLR,2014,7971997.0,Europe & Central Asia (excluding high income),Upper middle income,0.72,Minsk,Europe,Eastern Europe,https://flagcdn.com/w320/by.png,..\output\imagenes_procesadas\by.jpg
Belgium,BEL,2014,9263588.0,High income,High income,0.98,Brussels,Europe,Western Europe,https://flagcdn.com/w320/be.png,..\output\imagenes_procesadas\be.jpg
Belize,BLZ,2014,228016.0,Latin America & Caribbean (excluding high income),Upper middle income,0.48,Belmopan,Americas,Central America,https://flagcdn.com/w320/bz.png,..\output\imagenes_procesadas\bz.jpg
Benin,BEN,2014,6043333.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.17,Porto-Novo,Africa,Western Africa,https://flagcdn.com/w320/bj.png,..\output\imagenes_procesadas\bj.jpg
Bhutan,BTN,2014,523289.0,South Asia (excluding high income),Lower middle income,0.34,Thimphu,Asia,Southern Asia,https://flagcdn.com/w320/bt.png,..\output\imagenes_procesadas\bt.jpg
Bolivia,BOL,2014,7120716.0,Latin America & Caribbean (excluding high income),Lower middle income,0.42,Sucre,Americas,South America,https://flagcdn.com/w320/bo.png,..\output\imagenes_procesadas\bo.jpg
Bosnia and Herzegovina,BIH,2014,3077307.0,Europe & Central Asia (excluding high income),Upper middle income,0.53,Sarajevo,Europe,Southern Europe,https://flagcdn.com/w320/ba.png,..\output\imagenes_procesadas\ba.jpg
Botswana,BWA,2014,1405268.0,Sub-Saharan Africa (excluding high income),Upper middle income,0.52,Gaborone,Africa,Southern Africa,https://flagcdn.com/w320/bw.png,..\output\imagenes_procesadas\bw.jpg
